"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",741085700.700192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",48448717.7275939,12946481.2930886,20.008138654912,430938.15870944,0,1466630.80109094,17006.9220151354,152726.678457819,0,29317036.5628004,5964.35868041328,992790.932980001,81694.3270960925,3008934.18006122,0,28490.9588410533
"building_commercial_innercity",916599.340084076,51639.1043219566,1717.62454018742,9033.32248210907,948.323781531304,104795.059827089,3410.62253411859,132.933732101461,194738.322416306,453236.553904533,5.97790661352337,3120.95402407646,1468.41066228226,34381.3253669143,13210.7646506131,44760.0098793507
"building_highrise",292217.371810913,5522.99643611908,135.283420622349,73.3192154094577,0,21798.6499252319,581.461264967918,836.473720729351,0,240480.113327026,0,672.794210195541,244.725743055344,18348.751914978,409.211054384708,3113.57029342651
"building_lightweight",5368049.97874862,0,94129.6925807521,150263.5846103,0,694445.18406298,0,0,0,3325814.77877128,0,51717.2758229878,32452.7963066711,492667.475892514,0,526557.20787999
"building_multifamily",417394.53537941,23515.0517688394,782.159709088504,4113.53087356687,431.840987633914,47720.8411278725,1553.10516234487,60.5344249368645,88678.555177927,206391.68042326,2.72217704579816,1421.19799252227,668.674373446032,15656.3261975646,6015.82558549941,20382.4945566952
"building_singlefamily",69352499.8150272,14035186.2654123,862228.243896544,1430111.77853662,0,7777079.03153348,214126.091837071,30725.0634397548,9413391.50018811,28739590.0252166,22775.5275518652,356221.236378416,285118.755161621,490130.083216667,1772949.99662364,3922897.85978711
"building_skyscraper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"building",124795469.013456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",11835340.2924805,9625627.99987793,0,0,0,0,0,119536.87726593,0,2090176.9758606,0,0,0,0,0,0
"other_parking",3258464.89231873,3193797.65557861,0,0,0,0,0,64667.5027563572,0,0,0,0,0,0,0,0
"other_remaining_impervious",35800825.1730042,35090300.4820023,0,0,0,0,0,710503.11844635,0,0,0,0,0,0,0,0
"other",50894616.3505554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",530650.509216309,0,0,0,0,0,0,0,0,40527.8734760284,0,0,0,490122.626037598,0,0
"rail_other",47469.3255157471,3085.99943828583,0,0,0,0,0,0,0,42983.577507019,77.150026768446,0,0,1322.57126688957,0,0
"rail_railway",47658024.4537354,45036122.1216278,0,0,0,0,0,0,0,280687.035642147,0,0,0,962282.993416071,0,1378868.88599205
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",470901.555664062,0,0,0,0,0,0,0,0,453793.439453125,0,0,0,17108.0166778564,0,0
"rail",48707037.633667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",2441045.37744141,0,0,0,0,0,0,0,0,2268360.49951172,0,0,0,172684.870056152,0,0
"street_bridge_other",1484048.80319214,0,0,0,0,0,0,0,0,1342989.13247681,0,0,0,141059.725736618,0,0
"street_local",241412324.977556,233798954.098557,0,0,0,0,0,2675292.00271392,0,4937478.66706467,0,0,0,0,0,0
"street_motorway",97070137.3380127,78946141.7832031,0,0,0,0,0,980406.352320671,0,17143055.2784271,0,0,0,0,0,0
"street_motorway_elevated",649609.032958984,617128.640991211,0,0,0,0,0,32480.4514160156,0,0,0,0,0,0,0,0
"street_other_elevated",312996.553539276,297346.795219421,0,0,0,0,0,15649.8292660713,0,0,0,0,0,0,0,0
"street_primary",2987288.59375,2621242.9375,0,0,0,0,0,41438.2954101562,0,324616.703125,0,0,0,0,0,0
"street_secondary",68979344.6786575,62593552.2383575,0,0,0,0,0,980066.166985512,0,5405348.64967728,0,0,0,0,0,0
"street_tertiary",33990518.8335571,31844208.1304474,0,0,0,0,0,474227.132392168,0,1672092.72125483,0,0,0,0,0,0
"street_track",67003029.9991959,66581824.0459421,0,0,0,0,0,148014.830483879,0,273174.801971689,0,0,0,0,0,0
"street_tunnel",359272.205505371,0,0,0,0,0,0,0,0,346219.705810547,0,0,0,13052.4837551117,0,0
"street",516688487.255002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
