SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,NPOPCHG_2010,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,BIRTHS2008,BIRTHS2009,BIRTHS2010,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,DEATHS2008,DEATHS2009,DEATHS2010,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,NATURALINC2008,NATURALINC2009,NATURALINC2010,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNATIONALMIG2008,INTERNATIONALMIG2009,INTERNATIONALMIG2010,DOMESTICMIG2000,DOMESTICMIG2001,DOMESTICMIG2002,DOMESTICMIG2003,DOMESTICMIG2004,DOMESTICMIG2005,DOMESTICMIG2006,DOMESTICMIG2007,DOMESTICMIG2008,DOMESTICMIG2009,DOMESTICMIG2010,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,NETMIG2008,NETMIG2009,NETMIG2010,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RESIDUAL2008,RESIDUAL2009,RESIDUAL2010,GQESTIMATESBASE2000,GQESTIMATES2000,GQESTIMATES2001,GQESTIMATES2002,GQESTIMATES2003,GQESTIMATES2004,GQESTIMATES2005,GQESTIMATES2006,GQESTIMATES2007,GQESTIMATES2008,GQESTIMATES2009,GQESTIMATES2010,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RBIRTH2008,RBIRTH2009,RBIRTH2010,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RDEATH2008,RDEATH2009,RDEATH2010,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RNATURALINC2008,RNATURALINC2009,RNATURALINC2010,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNATIONALMIG2008,RINTERNATIONALMIG2009,RINTERNATIONALMIG2010,RDOMESTICMIG2001,RDOMESTICMIG2002,RDOMESTICMIG2003,RDOMESTICMIG2004,RDOMESTICMIG2005,RDOMESTICMIG2006,RDOMESTICMIG2007,RDOMESTICMIG2008,RDOMESTICMIG2009,RDOMESTICMIG2010,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007,RNETMIG2008,RNETMIG2009,RNETMIG2010
040,3,6,01,000,Alabama,Alabama,4447100,4447207,4451497,4463343,4471462,4489876,4510588,4542912,4594911,4634063,4673889,4707496,4729656,4290,11846,8119,18414,20712,32324,51999,39152,39826,33607,22160,15058,62358,59528,58572,59548,60076,61331,63809,65071,63193,61406,10590,45167,45800,45873,46911,46591,47133,46562,46760,47363,47800,4468,17191,13728,12699,12637,13485,14198,17247,18311,15830,13606,1434,5355,4726,3229,5848,5352,6073,5085,4924,4323,4735,-1599,-8690,-8607,4477,4949,16095,33652,16571,16344,13362,3820,-165,-3335,-3881,7706,10797,21447,39725,21656,21268,17685,8555,-13,-2010,-1728,-1991,-2722,-2608,-1924,249,247,92,-1,114720,114734,116545,115750,117860,116527,117525,118980,119737,122316,126143,126124,13.98970705,13.32496904,13.072155073,13.232206695,13.271331529,13.423547381,13.827972644,13.981808243,13.471998005,13.013671921,10.132991731,10.252042434,10.237980087,10.424129245,10.292373115,10.316023849,10.090395747,10.047322977,10.09722978,10.130174866,3.8567153196,3.0729266056,2.8341749859,2.8080774502,2.9789584139,3.1075235316,3.7375768964,3.9344852659,3.3747682245,2.883497055,1.2013676073,1.0578854267,0.7206513135,1.2994885597,1.1823051858,1.3292006203,1.1019643137,1.0580200671,0.9216123206,1.0034807111,-1.949558265,-1.926622909,0.9991811491,1.099721081,3.5555310101,7.3654304751,3.5910817389,3.5118359012,2.8486198999,0.8095662759,-0.748190657,-0.868737482,1.7198324625,2.3992096407,4.7378361959,8.6946310954,4.6930460526,4.5698559683,3.7702322205,1.8130469871
050,3,6,01,001,Alabama,Autauga County,43671,43751,43952,44509,45207,45762,46948,47875,49118,49835,50338,50816,51032,201,557,698,555,1186,927,1243,717,503,478,216,142,635,593,613,635,674,646,666,705,727,661,79,354,367,401,396,406,441,440,405,423,466,63,281,226,212,239,268,205,226,300,304,195,5,6,-23,-71,40,-4,24,2,7,0,18,132,312,530,455,961,711,1043,490,197,181,0,137,318,507,384,1001,707,1067,492,204,181,18,1,-42,-35,-41,-54,-48,-29,-1,-1,-7,3,260,258,257,257,258,257,257,257,257,257,257,257,14.356609127,13.219492621,13.477118579,13.698630137,14.215960263,13.320548906,13.460936,14.075649127,14.374122625,12.980127248,8.003526978,8.1813723305,8.8161901307,8.5427677705,8.5633232444,9.0934397328,8.8931108708,8.0860112006,8.3634853787,9.1508915246,6.3530821492,5.0381202907,4.6609284482,5.1558623665,5.6526370184,4.2271091728,4.5678251291,5.9896379264,6.0106372462,3.8292357238,0.1356529996,-0.512729056,-1.56097132,0.8629058354,-0.084367717,0.4948810739,0.0404232312,0.1397582183,0,0.353467913,7.0539559806,11.815060859,10.003407754,20.731312696,14.996361642,21.50670667,9.9036916516,3.9331955717,3.5787017814,0,7.1896089802,11.302331803,8.4424364344,21.594218531,14.911993926,22.001587743,9.9441148828,4.0729537899,3.5787017814,0.353467913
050,3,6,01,003,Alabama,Baldwin County,140415,140416,141384,145017,148177,151798,156640,162623,168572,172851,176268,179831,183597,968,3633,3160,3621,4842,5983,5949,4279,3417,3563,3766,428,1890,1753,1796,1846,2025,2199,2275,2273,2161,2058,342,1344,1447,1472,1553,1533,1634,1643,1683,1744,1715,86,546,306,324,293,492,565,632,590,417,343,45,224,218,202,227,235,244,219,209,192,195,850,2819,2619,3068,4312,5218,5104,3398,2591,2916,3254,895,3043,2837,3270,4539,5453,5348,3617,2800,3108,3449,-13,44,17,27,10,38,36,30,27,38,-26,2274,2307,2376,2373,2391,2237,2219,2212,2357,2355,2391,2393,13.198277939,11.957952755,11.974331194,11.969990727,12.685466214,13.279185978,13.326577296,13.021348022,12.137074241,11.325489505,9.3854420899,9.8705976248,9.8141511793,10.070095124,9.6033677564,9.8672987213,9.6244248337,9.6414116677,9.7950289105,9.4379079212,3.812835849,2.0873551301,2.160180015,1.899895603,3.082098458,3.4118872568,3.7021524619,3.3799363541,2.3420453301,1.8875815842,1.5642403483,1.4870699946,1.3467788982,1.4719327709,1.4721405236,1.4734521958,1.2828661221,1.1972994881,1.0783518067,1.0731148948,19.685685455,17.865304201,20.45503792,27.960238362,32.687784053,30.821721342,19.904927319,14.84307643,16.377468064,17.90726086,21.249925803,19.352374196,21.801816818,29.432171133,34.159924576,32.295173538,21.187793441,16.040375918,17.45581987,18.980375755
050,3,6,01,005,Alabama,Barbour County,29038,29042,29039,29221,29285,29501,29462,29466,29564,29736,29866,29796,29612,-3,182,64,216,-39,4,98,172,130,-70,-184,84,429,377,360,313,369,363,418,415,361,337,70,323,334,296,284,301,299,281,248,290,308,14,106,43,64,29,68,64,137,167,71,29,11,56,53,52,56,61,63,58,56,54,55,-26,-213,-219,-88,-309,-311,-212,-213,-89,-191,-265,-15,-157,-166,-36,-253,-250,-149,-155,-33,-137,-210,-2,233,187,188,185,186,183,190,-4,-4,-3,2718,2721,2699,2884,3146,3148,3154,3151,3139,3251,3281,3280,14.727085479,12.887567087,12.247814105,10.616827502,12.523757806,12.298831103,14.097807757,13.925707191,12.101505146,11.345273364,11.088225197,11.41763238,10.070424931,9.6331597782,10.215856639,10.130442148,9.4772344013,8.3218683937,9.7214307264,10.368973876,3.6388602815,1.4699347076,2.1773891743,0.9836677238,2.3079011675,2.1683889548,4.6205733558,5.6038387974,2.3800744192,0.9762994883,1.9224167525,1.8117799884,1.7691287041,1.8994962943,2.0703231062,2.1345078774,1.9561551433,1.8791315728,1.8101974456,1.8516024778,-7.312049434,-7.48641165,-2.993910115,-10.4811492,-10.55525387,-7.182788413,-7.18381113,-2.986476964,-6.402735409,-8.921357393,-5.389632681,-5.674631662,-1.224781411,-8.581652901,-8.484930763,-5.048280535,-5.227655987,-1.107345391,-4.592537964,-7.069754915
050,3,6,01,007,Alabama,Bibb County,20826,19856,19881,20866,20906,20975,21133,21304,21211,21410,21530,21576,21392,25,985,40,69,158,171,-93,199,120,46,-184,67,272,296,247,275,251,268,271,264,254,237,59,193,214,221,235,219,232,214,203,228,226,8,79,82,26,40,32,36,57,61,26,11,0,8,6,4,9,7,9,7,7,6,7,17,902,-30,58,132,152,-123,137,54,16,-203,17,910,-24,62,141,159,-114,144,61,22,-196,0,-4,-18,-19,-23,-20,-15,-2,-2,-2,1,302,282,1155,1186,1171,1241,1245,1242,1241,1245,1311,1312,13.350676123,14.172172747,11.795324849,13.061650993,11.829299903,12.607315065,12.716735881,12.296227294,11.784902334,11.031465276,9.4730900434,10.246097865,10.553711707,11.161774485,10.321181987,10.913795131,10.041998076,9.4550535631,10.578573748,10.51945634,3.87758608,3.9260748827,1.241613142,1.899876508,1.508117916,1.6935199341,2.6747378053,2.8411737308,1.2063285853,0.5120089369,0.3926669448,0.2872737719,0.1910174065,0.4274722143,0.3299007941,0.4233799835,0.3284765726,0.3260363298,0.2783835197,0.3258238689,44.273198027,-1.43636886,2.7697523937,6.2695924765,7.1635601009,-5.786193108,6.4287557777,2.515137401,0.7423560525,-9.448892199,44.665864972,-1.149095088,2.9607698001,6.6970646908,7.493460895,-5.362813125,6.7572323502,2.8411737308,1.0207395722,-9.12306833
050,3,6,01,009,Alabama,Blount County,51024,50982,51141,51961,52753,53739,54471,55041,55983,56863,57797,58197,58271,159,820,792,986,732,570,942,880,934,400,74,165,687,677,661,689,685,675,698,740,651,643,87,481,510,556,514,541,546,509,542,576,567,78,206,167,105,175,144,129,189,198,75,76,24,117,122,110,108,116,120,109,104,96,97,59,542,544,816,509,366,730,584,628,227,-107,83,659,666,926,617,482,850,693,732,323,-10,-2,-45,-41,-45,-60,-56,-37,-2,4,2,8,610,613,614,613,614,613,613,613,613,613,612,612,13.326608601,12.9304582,12.414078053,12.734497736,12.510044561,12.159533074,12.370841678,12.907727193,11.22471852,11.041659512,9.3305658474,9.7408178467,10.442098937,9.5000462065,9.8801957776,9.8357111976,9.0211438598,9.4540380255,9.9315481835,9.7365800048,3.9960427538,3.1896403537,1.9719791158,3.2344515294,2.6298487837,2.3238218764,3.3496978183,3.453689168,1.2931703364,1.3050795068,2.269597098,2.3301564261,2.0658828832,1.9961186582,2.118489298,2.1616947687,1.9318363079,1.8140589569,1.6552580306,1.6656935811,10.513860061,10.390205703,15.325094843,9.4076333056,6.6841989919,13.150309843,10.350389026,10.95412524,3.9139955515,-1.837414569,12.783457159,12.720362129,17.390977726,11.403751964,8.8026882899,15.312004612,12.282225334,12.768184197,5.5692535821,-0.171720988
050,3,6,01,011,Alabama,Bullock County,11714,11603,11585,11353,11241,11287,11011,10952,10710,10940,10878,10913,10819,-18,-232,-112,46,-276,-59,-242,230,-62,35,-94,41,167,147,140,144,165,205,199,184,172,149,34,137,147,129,129,134,124,157,130,82,108,7,30,0,11,15,31,81,42,54,90,41,11,41,40,34,38,44,45,43,38,26,27,-37,-295,-144,12,-317,-126,-367,145,-157,-85,-163,-26,-254,-104,46,-279,-82,-322,188,-119,-59,-136,1,-8,-8,-11,-12,-8,-1,0,3,4,1,1511,1515,1502,1547,1647,1524,1615,1490,1637,1666,1625,1626,14.560990496,13.012304152,12.428977273,12.915956588,15.025269772,18.927153541,18.383371824,16.866807223,15.786333808,13.712497699,11.9452437,13.012304152,11.452414773,11.570544443,12.2023403,11.448619703,14.503464203,11.916765973,7.5260428617,9.9392600773,2.6157467957,0,0.9765625,1.3454121446,2.8229294723,7.4785338381,3.8799076212,4.9500412503,8.2602909458,3.7732376219,3.5748539541,3.5407630344,3.0184659091,3.408377433,4.0067386058,4.1547410211,3.9722863741,3.4833623614,2.3863062732,2.4848150193,-25.72151016,-12.74674692,1.0653409091,-28.43304332,-11.47384237,-33.88422122,13.394919169,-14.3917866,-7.801385893,-15.0009203,-22.1466562,-9.20598389,4.0838068182,-25.02466589,-7.467103765,-29.7294802,17.367205543,-10.90842424,-5.41507962,-12.51610528
050,3,6,01,013,Alabama,Butler County,21399,21394,21275,20997,20570,20507,20448,20310,20204,20206,20176,20013,20036,-119,-278,-427,-63,-59,-138,-106,2,-30,-163,23,67,293,264,270,274,244,281,291,316,274,262,69,260,322,291,293,292,285,252,248,276,265,-2,33,-58,-21,-19,-48,-4,39,68,-2,-3,0,4,3,1,7,5,7,4,4,4,6,-116,-300,-354,-25,-26,-75,-95,-38,-100,-169,19,-116,-296,-351,-24,-19,-70,-88,-34,-96,-165,25,-1,-15,-18,-18,-21,-20,-14,-3,-2,4,1,265,233,233,233,231,235,235,234,238,235,233,236,13.862604088,12.702384103,13.146042798,13.380539617,11.973109574,13.871748038,14.40237565,15.650537368,13.635571923,13.083972134,12.301286904,15.493059398,14.168512793,14.308387254,14.328475391,14.069210643,12.472160356,12.282700213,13.735101645,13.233788609,1.561317184,-2.790675295,-1.022469995,-0.927847638,-2.355365818,-0.197462606,1.9302152932,3.3678371552,-0.099529722,-0.149816475,0.1892505678,0.1443452739,0.0486890474,0.3418386033,0.245350606,0.3455595597,0.1979707993,0.198108068,0.1990594441,0.2996329496,-14.19379258,-17.03274232,-1.217226185,-1.269686241,-3.68025909,-4.689736881,-1.880722593,-4.952701699,-8.410261514,0.9488376738,-14.00454201,-16.88839705,-1.168537138,-0.927847638,-3.434908484,-4.344177321,-1.682751794,-4.754593631,-8.21120207,1.2484706235
050,3,6,01,015,Alabama,Calhoun County,112249,111882,110986,110671,110532,111088,111300,111760,112127,112484,113060,113646,113428,-896,-315,-139,556,212,460,367,357,576,586,-218,371,1561,1492,1413,1521,1514,1490,1525,1565,1484,1465,310,1388,1321,1212,1311,1349,1385,1289,1319,1331,1346,61,173,171,201,210,165,105,236,246,153,119,10,88,82,61,94,88,94,78,75,68,71,-970,-470,-303,394,25,317,256,58,268,382,-402,-960,-382,-221,455,119,405,350,136,343,450,-331,3,-106,-89,-100,-117,-110,-88,-15,-13,-17,-6,2428,2436,2430,2397,2496,2713,2786,2782,2704,2769,2776,2774,14.084824752,13.489871295,12.751556719,13.678795618,13.574822918,13.310285992,13.579032193,13.877558259,13.091845827,12.90328263,12.523854424,11.943780148,10.937641007,11.790204507,12.095400341,12.372312819,11.47762131,11.696165715,11.742080051,11.855166157,1.560970328,1.546091147,1.8139157116,1.888591111,1.4794225769,0.937973174,2.1014108837,2.1813925442,1.3497657759,1.048116473,0.7940195888,0.7414004331,0.5504918329,0.8453693545,0.7890253743,0.8397093176,0.6945341056,0.6650587025,0.5998959004,0.6253468032,-4.24078644,-2.739565015,3.5556357729,0.2248322751,2.8422845871,2.2868679289,0.5164484375,2.3764764303,3.3700034406,-3.540695985,-3.446766851,-1.998164582,4.1061276058,1.0702016296,3.6313099614,3.1265772466,1.2109825432,3.0415351328,3.969899341,-2.915349181
050,3,6,01,017,Alabama,Chambers County,36583,36600,36552,36242,35921,35618,35373,35163,34811,34718,34439,34258,34029,-48,-310,-321,-303,-245,-210,-352,-93,-279,-181,-229,110,460,429,446,436,415,395,398,422,421,401,108,508,467,460,450,478,484,437,471,452,456,2,-48,-38,-14,-14,-63,-89,-39,-49,-31,-55,1,20,21,22,25,25,27,25,25,21,22,-50,-248,-274,-280,-221,-137,-265,-75,-259,-166,-195,-49,-228,-253,-258,-196,-112,-238,-50,-234,-145,-173,-1,-34,-30,-31,-35,-35,-25,-4,4,-5,-1,518,493,493,493,493,493,493,493,493,493,493,493,12.638404264,11.889749595,12.468723354,12.283247172,11.767040944,11.28990768,11.448460355,12.204115274,12.256721545,11.744548743,13.957194274,12.942920887,12.860118257,12.677663366,13.553362822,13.833709664,12.57029441,13.621180792,13.159235483,13.355397074,-1.31879001,-1.053171293,-0.391394903,-0.394416194,-1.786321878,-2.543801984,-1.121834055,-1.417065518,-0.902513938,-1.610848331,0.5494958376,0.5820157144,0.615049134,0.7043146314,0.7088578882,0.7717152085,0.7191243941,0.722992611,0.6113804096,0.6443393325,-6.813748386,-7.593919322,-7.82789807,-6.226141342,-3.884541227,-7.574241861,-2.157373182,-7.49020345,-4.832816571,-5.711189538,-6.264252548,-7.011903607,-7.212848936,-5.52182671,-3.175683339,-6.802526653,-1.438248788,-6.767210839,-4.221436162,-5.066850206
