"","FIPS","YEAR","RDEATH"
"1","01001","2011",9.3454545455
"2","01003","2011",9.8953120351
"3","01005","2011",11.816784956
"4","01007","2011",12.101282473
"5","01009","2011",9.901162386
"6","01011","2011",12.342814719
"7","01013","2011",12.632183358
"8","01015","2011",11.221586097
"9","01017","2011",12.970435038
"10","01019","2011",11.85709886
"11","01021","2011",10.853884729
"12","01023","2011",11.654162721
"13","01025","2011",11.644889296
"14","01027","2011",15.298169295
"15","01029","2011",11.693171188
"16","01031","2011",10.094185908
"17","01033","2011",12.323152673
"18","01035","2011",14.377057243
"19","01037","2011",14.011862804
"20","01039","2011",12.87106516
"21","01041","2011",11.8142852
"22","01043","2011",11.313764251
"23","01045","2011",9.3716423256
"24","01047","2011",12.536593766
"25","01049","2011",10.917153121
"26","01051","2011",8.8752389608
"27","01053","2011",11.548158696
"28","01055","2011",12.977186967
"29","01057","2011",14.877045594
"30","01059","2011",13.19227984
"31","01061","2011",12.403564157
"32","01063","2011",11.847546664
"33","01065","2011",13.180736835
"34","01067","2011",13.151443486
"35","01069","2011",8.9482392332
"36","01071","2011",12.161882742
"37","01073","2011",10.476144171
"38","01075","2011",13.825685205
"39","01077","2011",11.869820442
"40","01079","2011",12.311201439
"41","01081","2011",5.664668473
"42","01083","2011",8.1072431817
"43","01085","2011",13.999732489
"44","01087","2011",11.12435439
"45","01089","2011",8.0365864488
"46","01091","2011",11.918206502
"47","01093","2011",13.860870697
"48","01095","2011",10.865322404
"49","01097","2011",9.9953653451
"50","01099","2011",11.484465405
"51","01101","2011",8.3192716713
"52","01103","2011",10.34920211
"53","01105","2011",13.89615952
"54","01107","2011",13.656241209
"55","01109","2011",9.8795363285
"56","01111","2011",13.134276082
"57","01113","2011",10.575651965
"58","01115","2011",9.8957898129
"59","01117","2011",6.3911224821
"60","01119","2011",11.756061719
"61","01121","2011",11.290273417
"62","01123","2011",12.210719371
"63","01125","2011",8.8068392126
"64","01127","2011",13.609618062
"65","01129","2011",11.491952774
"66","01131","2011",12.348899904
"67","01133","2011",12.916717923
"68","04001","2011",8.2215941838
"69","04003","2011",9.1952634579
"70","04005","2011",5.3777237278
"71","04007","2011",12.8596929
"72","04009","2011",7.6738738254
"73","04011","2011",6.1451193571
"74","04012","2011",9.6834626895
"75","04013","2011",6.7349722199
"76","04015","2011",11.772994051
"77","04017","2011",8.2416178472
"78","04019","2011",8.7664930119
"79","04021","2011",6.2472346411
"80","04023","2011",5.826549715
"81","04025","2011",12.368876873
"82","04027","2011",6.7005360429
"83","05001","2011",13.621964097
"84","05003","2011",12.459197278
"85","05005","2011",16.413425216
"86","05007","2011",7.0390734986
"87","05009","2011",11.138296003
"88","05011","2011",13.273949873
"89","05013","2011",10.749646393
"90","05015","2011",11.014376852
"91","05017","2011",15.40294443
"92","05019","2011",11.733147231
"93","05021","2011",14.784188436
"94","05023","2011",13.921829506
"95","05025","2011",10.489308974
"96","05027","2011",12.502022981
"97","05029","2011",12.043356082
"98","05031","2011",8.8135975363
"99","05033","2011",9.2927791066
"100","05035","2011",9.972899729
"101","05037","2011",11.998542233
"102","05039","2011",12.529462846
"103","05041","2011",11.602102394
"104","05043","2011",8.8232934948
"105","05045","2011",6.999383429
"106","05047","2011",12.945699981
"107","05049","2011",13.657738704
"108","05051","2011",13.912430477
"109","05053","2011",10.828007702
"110","05055","2011",10.663339767
"111","05057","2011",11.179132286
"112","05059","2011",10.697120817
"113","05061","2011",11.806460959
"114","05063","2011",10.530172472
"115","05065","2011",14.360026376
"116","05067","2011",13.020253728
"117","05069","2011",10.196896597
"118","05071","2011",10.111065566
"119","05073","2011",15.675426464
"120","05075","2011",13.390804598
"121","05077","2011",10.828579716
"122","05079","2011",8.0906148867
"123","05081","2011",13.11500556
"124","05083","2011",11.851851852
"125","05085","2011",8.7218762882
"126","05087","2011",11.484718943
"127","05089","2011",14.158867291
"128","05091","2011",10.283541753
"129","05093","2011",11.29503408
"130","05095","2011",12.933423662
"131","05097","2011",13.959390863
"132","05099","2011",12.996389892
"133","05101","2011",10.993657505
"134","05103","2011",13.904177047
"135","05105","2011",9.7949776732
"136","05107","2011",12.859198737
"137","05109","2011",10.664296823
"138","05111","2011",13.56098358
"139","05113","2011",12.953305033
"140","05115","2011",8.8143850764
"141","05117","2011",12.124011316
"142","05119","2011",8.7550355081
"143","05121","2011",12.803384547
"144","05123","2011",10.108920054
"145","05125","2011",8.3606112086
"146","05127","2011",11.624295665
"147","05129","2011",12.792127921
"148","05131","2011",9.4560964126
"149","05133","2011",9.9508277808
"150","05135","2011",15.874855156
"151","05137","2011",13.821366869
"152","05139","2011",13.980114492
"153","05141","2011",11.586142973
"154","05143","2011",6.4454286234
"155","05145","2011",10.332027355
"156","05147","2011",14.722222222
"157","05149","2011",9.7030151893
"158","06001","2011",5.9634002551
"159","06003","2011",7.0984915705
"160","06005","2011",11.69311538
"161","06007","2011",9.9062565352
"162","06009","2011",9.9969104471
"163","06011","2011",8.2319925164
"164","06013","2011",6.8584217037
"165","06015","2011",10.419407462
"166","06017","2011",7.2361298305
"167","06019","2011",6.4078826789
"168","06021","2011",8.35317954
"169","06023","2011",8.784393825
"170","06025","2011",5.5748611991
"171","06027","2011",10.785031027
"172","06029","2011",6.3956290417
"173","06031","2011",4.9566457839
"174","06033","2011",12.388941436
"175","06035","2011",5.7616862342
"176","06037","2011",5.9065790147
"177","06039","2011",6.6675257136
"178","06041","2011",7.2007554891
"179","06043","2011",8.5055011386
"180","06045","2011",9.5698697561
"181","06047","2011",5.6354623288
"182","06049","2011",10.415039317
"183","06051","2011",2.6500226647
"184","06053","2011",5.559080768
"185","06055","2011",8.4532701767
"186","06057","2011",9.570056357
"187","06059","2011",5.8274116563
"188","06061","2011",7.8941146657
"189","06063","2011",11.303711554
"190","06065","2011",6.5190053489
"191","06067","2011",7.1513806984
"192","06069","2011",4.8254150485
"193","06071","2011",5.9487892142
"194","06073","2011",6.3028334226
"195","06075","2011",7.108512141
"196","06077","2011",6.8868120517
"197","06079","2011",8.3422697186
"198","06081","2011",6.2857249405
"199","06083","2011",6.7413297179
"200","06085","2011",5.0904729004
"201","06087","2011",6.4393329609
"202","06089","2011",11.548151112
"203","06091","2011",11.079455524
"204","06093","2011",12.059897491
"205","06095","2011",6.9179064661
"206","06097","2011",7.9615213706
"207","06099","2011",7.1094843155
"208","06101","2011",7.7364941633
"209","06103","2011",9.7407203089
"210","06105","2011",11.734693878
"211","06107","2011",6.4040244877
"212","06109","2011",11.070714416
"213","06111","2011",6.1406624956
"214","06113","2011",6.0839596355
"215","06115","2011",7.7052134468
"216","08001","2011",5.5118250861
"217","08003","2011",8.4550345888
"218","08005","2011",5.8980886781
"219","08007","2011",6.6481073669
"220","08009","2011",19.512195122
"221","08011","2011",9.4398019189
"222","08013","2011",5.0655973001
"223","08014","2011",5.5927329646
"224","08015","2011",8.6505190311
"225","08017","2011",11.363636364
"226","08019","2011",5.9688294462
"227","08021","2011",10.601132394
"228","08023","2011",9.7629009763
"229","08025","2011",5.9609980414
"230","08027","2011",6.8203198495
"231","08029","2011",11.721874847
"232","08031","2011",6.726100161
"233","08033","2011",8.2664721614
"234","08035","2011",3.119796385
"235","08037","2011",1.5938550168
"236","08039","2011",4.7063903282
"237","08041","2011",5.8070006707
"238","08043","2011",11.250742974
"239","08045","2011",5.2443810203
"240","08047","2011",5.1380860629
"241","08049","2011",4.4960659423
"242","08051","2011",3.4040324692
"243","08053","2011",8.388256441
"244","08055","2011",16.201075025
"245","08057","2011",7.2833211945
"246","08059","2011",6.9513240042
"247","08061","2011",15.520282187
"248","08063","2011",9.9787039854
"249","08065","2011",5.7506674882
"250","08067","2011",4.8219835975
"251","08069","2011",6.1748064594
"252","08071","2011",12.928630025
"253","08073","2011",9.3663911846
"254","08075","2011",8.1187813003
"255","08077","2011",8.9015209605
"256","08079","2011",4.2402826855
"257","08081","2011",4.9968769519
"258","08083","2011",11.36096529
"259","08085","2011",9.688412853
"260","08087","2011",9.807207239
"261","08089","2011",11.724759934
"262","08091","2011",4.2797612344
"263","08093","2011",5.1339147646
"264","08095","2011",13.754227734
"265","08097","2011",3.2631180258
"266","08099","2011",11.897632451
"267","08101","2011",10.326246816
"268","08103","2011",6.1331338818
"269","08105","2011",10.695187166
"270","08107","2011",3.7698667695
"271","08109","2011",6.0045439792
"272","08111","2011",11.444921316
"273","08113","2011",2.425222312
"274","08115","2011",17.288635884
"275","08117","2011",1.9246190858
"276","08119","2011",5.6364490371
"277","08121","2011",11.061254304
"278","08123","2011",5.6292565405
"279","08125","2011",11.693008968
